Designator,Mid X,Mid Y,Rotation,Layer
C1,201.003584,-70.5,0.0,top
C10,193.663584,-70.73725,90.0,top
C11,200.969584,-81.690893,315.0,top
C12,197.445334,-72.531018,90.0,top
C13,188.428334,-75.071018,90.0,top
C14,194.552584,-86.35825,270.0,top
C15,187.83,-80.46,225.0,top
C16,200.140584,-73.78525,0.0,top
C17,200.140584,-75.30925,0.0,top
C2,197.983584,-62.455,180.0,top
C3,190.183584,-65.515,0.0,top
C4,196.429334,-72.531018,90.0,top
C5,192.139584,-70.73725,90.0,top
C6,196.076584,-86.35825,270.0,top
C7,187.948584,-90.184018,270.0,top
C8,194.651334,-89.930018,90.0,top
C9,201.003584,-69.3,180.0,top
CH1,193.663584,-108.1,180.0,bottom
CH10,217.961321,-173.19106,180.0,bottom
CH11,236.503214,-155.463994,180.0,bottom
CH12,255.448193,-137.736928,180.0,bottom
CH13,213.325847,-144.586021,180.0,bottom
CH14,232.270826,-126.657511,180.0,bottom
CH15,251.215805,-99.261137,180.0,bottom
CH16,274.191628,-84.354286,180.0,bottom
CH17,300.795216,-82.944179,180.0,bottom
CH18,327.398803,-94.023595,180.0,bottom
CH19,247.3865,-73.677757,180.0,bottom
CH2,61.564478,-94.829371,180.0,bottom
CH20,270.362324,-58.569462,180.0,bottom
CH21,296.764369,-57.360799,180.0,bottom
CH22,323.367956,-68.440215,180.0,bottom
CH3,86.95881,-83.347066,180.0,bottom
CH4,113.76394,-85.361505,180.0,bottom
CH5,136.538221,-99.664025,180.0,bottom
CH6,122.027175,-59.97957,180.0,bottom
CH7,151.653896,-155.061106,180.0,bottom
CH8,170.397332,-172.586728,180.0,bottom
CH9,174.831264,-143.780246,180.0,bottom
D1,201.533584,-66.285,90.0,top
D2,203.913584,-61.355,90.0,top
D3,206.041084,-77.375,180.0,top
F1,198.793584,-59.335,0.0,top
H1,60.07,-59.89,0.0,top
H2,314.57,-60.57,180.0,bottom
H3,57.885369,-170.868984,0.0,top
H4,74.93,-78.63,180.0,bottom
J1,193.662084,-51.875,180.0,top
R1,200.778584,-50.595,180.0,top
R10,180.933584,-63.595,270.0,top
R11,192.520584,-86.35825,90.0,top
R2,189.513584,-59.105,180.0,top
R3,200.343584,-56.445,0.0,top
R4,203.413584,-77.385,0.0,top
R5,204.113584,-73.48,270.0,top
R6,205.653584,-73.48,90.0,top
R7,199.583584,-85.805,180.0,top
R8,194.093584,-67.015,270.0,top
R9,195.623584,-67.015,270.0,top
SW1,182.693584,-58.375,270.0,top
U1,198.436084,-64.695,180.0,top
U2,193.663584,-61.225,270.0,top
U3,193.663584,-78.77,0.0,top
U4,184.533584,-67.425,0.0,top
Y1,191.377584,-89.91425,180.0,top
